epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4319.73,1.00235,0.81192,1.07271,0.93435,0.82857,0.92066,0.62311,1.08447,0.81803,1.06748,0.0011882,0.0011882,0.0011882
43,4423.87,1.01032,0.81112,1.07999,0.9543,0.79544,0.91209,0.63663,1.02762,0.81404,1.04702,0.0011684,0.0011684,0.0011684
44,4540.93,0.98174,0.81225,1.04508,0.91546,0.82512,0.89033,0.61995,1.04478,0.88636,1.04667,0.0011486,0.0011486,0.0011486
45,4645.63,0.99634,0.79816,1.06279,0.93397,0.82857,0.91291,0.65024,1.04539,0.82799,1.05031,0.0011288,0.0011288,0.0011288
46,4748.83,0.96822,0.75598,1.06747,0.90938,0.75238,0.86465,0.59585,1.05699,0.90451,1.04025,0.001109,0.001109,0.001109
47,4848.63,0.9777,0.78116,1.06838,0.93556,0.80952,0.89591,0.61872,1.09671,0.87079,1.06383,0.0010892,0.0010892,0.0010892
48,4951.64,1.00685,0.73979,1.06611,0.89691,0.8381,0.89492,0.63081,1.04954,0.85234,1.04899,0.0010694,0.0010694,0.0010694
49,5051.96,0.97896,0.78793,1.06839,0.89931,0.89524,0.94205,0.65557,1.07444,0.73148,1.0816,0.0010496,0.0010496,0.0010496
50,5151.91,0.98193,0.79628,1.07408,0.92447,0.81905,0.93188,0.66506,1.04017,0.74872,1.06515,0.0010298,0.0010298,0.0010298
51,5252.91,0.95283,0.81093,1.09881,0.93739,0.85556,0.94718,0.69128,0.9997,0.68651,1.05482,0.00101,0.00101,0.00101
52,5352.36,0.92478,0.78145,1.02613,0.91834,0.85688,0.92373,0.65901,1.00794,0.74907,1.04244,0.0009902,0.0009902,0.0009902
53,5452.17,1.03852,0.87529,1.1186,0.86411,0.8,0.86031,0.59083,1.04155,0.85582,1.03346,0.0009704,0.0009704,0.0009704
54,5547.25,0.93952,0.72066,1.0503,0.93399,0.75238,0.86859,0.61977,1.01917,0.87595,1.02417,0.0009506,0.0009506,0.0009506
55,5647.8,0.92984,0.72535,1.04891,0.95311,0.84762,0.92361,0.66656,0.99995,0.75189,1.03202,0.0009308,0.0009308,0.0009308
56,5748.97,0.94641,0.7289,1.02872,0.99903,0.8381,0.94469,0.70203,0.97606,0.69533,1.02788,0.000911,0.000911,0.000911
57,5847.08,0.98446,0.74145,1.10241,0.95258,0.86667,0.93668,0.67471,1.03114,0.69997,1.04098,0.0008912,0.0008912,0.0008912
58,5947.19,0.9496,0.71644,1.02382,0.91709,0.86667,0.93124,0.67769,0.98516,0.70366,1.02115,0.0008714,0.0008714,0.0008714
59,6047.52,0.93131,0.68867,1.04643,0.96802,0.86495,0.9407,0.67873,1.01943,0.69791,1.03865,0.0008516,0.0008516,0.0008516
60,6152.64,0.96601,0.68502,1.0487,0.98072,0.82857,0.94575,0.68664,1.0264,0.68515,1.04243,0.0008318,0.0008318,0.0008318
61,6248.79,0.87116,0.65072,1.02428,0.91826,0.84762,0.92847,0.67172,1.03343,0.70708,1.05488,0.000812,0.000812,0.000812
62,6348.82,0.92793,0.70763,1.04212,0.91173,0.89524,0.93149,0.68542,0.99753,0.68954,1.03964,0.0007922,0.0007922,0.0007922
63,6452.61,0.92982,0.65964,1.01999,0.97868,0.87424,0.95395,0.69754,0.9968,0.66504,1.04396,0.0007724,0.0007724,0.0007724
64,6552.48,0.88432,0.66847,1.02774,0.9584,0.87775,0.9542,0.69857,0.98601,0.64113,1.03609,0.0007526,0.0007526,0.0007526
65,6653.95,0.89833,0.64467,1.05383,0.94782,0.86501,0.93028,0.66841,1.0038,0.68981,1.04058,0.0007328,0.0007328,0.0007328
66,6752.59,0.86554,0.64519,1.02714,0.94403,0.8381,0.9183,0.64912,1.02492,0.72837,1.04529,0.000713,0.000713,0.000713
67,6852.9,0.83492,0.62548,1.00912,0.95149,0.8381,0.91658,0.65036,1.00138,0.73379,1.03449,0.0006932,0.0006932,0.0006932
68,6951.68,0.85014,0.61508,0.99506,0.95383,0.84762,0.92525,0.67052,0.98652,0.69667,1.03349,0.0006734,0.0006734,0.0006734
69,7052.92,0.87519,0.62267,1.03615,0.95781,0.86481,0.93136,0.65392,1.02185,0.69176,1.0479,0.0006536,0.0006536,0.0006536
70,7176.61,0.85061,0.62505,1.02096,0.97748,0.8381,0.94044,0.65465,1.04791,0.68228,1.05539,0.0006338,0.0006338,0.0006338
71,7331.29,0.82055,0.61166,0.99728,0.9109,0.8763,0.94437,0.68047,1.02417,0.67417,1.04427,0.000614,0.000614,0.000614
72,7401,0.87389,0.79412,1.0219,0.93799,0.8644,0.94233,0.69423,0.99764,0.65344,1.0301,0.0005942,0.0005942,0.0005942
73,7475.58,0.9002,0.6549,1.04433,0.97541,0.8381,0.92426,0.6593,1.0473,0.71368,1.04474,0.0005744,0.0005744,0.0005744
74,7554.2,0.82785,0.61715,0.99517,0.9598,0.82857,0.91733,0.65129,1.03176,0.70722,1.04618,0.0005546,0.0005546,0.0005546
75,7637.02,0.84376,0.60993,1.02834,0.93004,0.88624,0.936,0.67945,1.00106,0.66571,1.03452,0.0005348,0.0005348,0.0005348
76,7738.67,0.87979,0.60149,1.01838,0.94892,0.88466,0.94428,0.6965,0.96656,0.64511,1.02076,0.000515,0.000515,0.000515
77,7827.91,0.86223,0.62517,1.00838,0.95781,0.85714,0.94684,0.69607,0.96991,0.64466,1.01944,0.0004952,0.0004952,0.0004952
78,7926.32,0.83058,0.57092,0.98394,0.96664,0.82789,0.93557,0.68205,0.98964,0.67601,1.0279,0.0004754,0.0004754,0.0004754
79,8019.93,0.84025,0.582,1.00912,0.97767,0.83401,0.94297,0.67657,1.01492,0.67592,1.04072,0.0004556,0.0004556,0.0004556
80,8115.21,0.80934,0.56381,0.97431,0.93689,0.87619,0.93928,0.67894,1.01001,0.68209,1.03722,0.0004358,0.0004358,0.0004358
81,8210.9,0.77495,0.56241,1.00122,0.95633,0.88571,0.94017,0.67792,1.0201,0.655,1.04165,0.000416,0.000416,0.000416
82,8308.76,0.79618,0.58996,1.00148,0.93687,0.89524,0.93782,0.68012,1.01968,0.65737,1.04843,0.0003962,0.0003962,0.0003962
83,8406.4,0.81253,0.5842,0.96721,0.95749,0.85814,0.92885,0.67387,1.028,0.68428,1.04523,0.0003764,0.0003764,0.0003764
84,8499.24,0.80045,0.59178,0.99225,0.91317,0.87619,0.92331,0.66713,1.03081,0.71119,1.04652,0.0003566,0.0003566,0.0003566
85,8589.81,0.78913,0.56506,0.98316,0.93539,0.82731,0.91288,0.66175,1.01293,0.72102,1.03987,0.0003368,0.0003368,0.0003368
86,8683.96,0.76587,0.56011,0.98539,0.89874,0.84762,0.91341,0.67197,1.00805,0.71497,1.03804,0.000317,0.000317,0.000317
87,8784.33,0.79532,0.55399,0.97518,0.96107,0.82857,0.92407,0.68697,0.99935,0.6923,1.0363,0.0002972,0.0002972,0.0002972
88,8882.19,0.78889,0.59643,1.004,0.94833,0.87405,0.93212,0.68742,1.01067,0.67541,1.04487,0.0002774,0.0002774,0.0002774
89,8978.86,0.68966,0.53317,0.97427,0.94883,0.883,0.939,0.68864,1.00487,0.66081,1.04416,0.0002576,0.0002576,0.0002576
90,9079.27,0.78132,0.54302,0.96845,0.93085,0.89748,0.94239,0.70009,0.97786,0.65493,1.03466,0.0002378,0.0002378,0.0002378
91,9180.94,0.74061,0.51423,0.97296,0.94793,0.86667,0.94257,0.69202,0.99301,0.65335,1.04546,0.000218,0.000218,0.000218
92,9279.19,0.72065,0.50234,0.93395,0.96697,0.83641,0.92969,0.6718,1.02182,0.70354,1.05267,0.0001982,0.0001982,0.0001982
93,9380.63,0.72896,0.52054,0.93964,0.92907,0.87323,0.92665,0.66377,1.01597,0.72104,1.04617,0.0001784,0.0001784,0.0001784
94,9476.49,0.71149,0.5139,0.95493,0.92995,0.88506,0.93313,0.67606,1.01274,0.70066,1.0481,0.0001586,0.0001586,0.0001586
95,9570.9,0.7127,0.47894,0.92984,0.95775,0.8635,0.94068,0.68551,1.00596,0.67607,1.04641,0.0001388,0.0001388,0.0001388
96,9669.41,0.69546,0.47474,0.92839,0.93058,0.89366,0.94667,0.68434,1.00877,0.65007,1.05456,0.000119,0.000119,0.000119
97,9767.56,0.71082,0.47872,0.92265,0.95406,0.86667,0.94493,0.68513,1.009,0.64823,1.05523,9.92e-05,9.92e-05,9.92e-05
98,9865.23,0.67558,0.47974,0.91273,0.95646,0.86667,0.94366,0.67867,1.01446,0.65711,1.05933,7.94e-05,7.94e-05,7.94e-05
99,9962.54,0.70671,0.46296,0.93455,0.96805,0.86571,0.94658,0.68482,1.00593,0.63895,1.05366,5.96e-05,5.96e-05,5.96e-05
100,10062.6,0.69246,0.44992,0.91831,0.95817,0.85714,0.95058,0.68654,1.00229,0.62613,1.05142,3.98e-05,3.98e-05,3.98e-05
